Title,Date,eBook,eBookLink,paperback,printLink
Sci-FU,2011-10-11,eBook,https://www.amazon.com/dp/B005WL1TT8/,paperback,https://www.createspace.com/3704103
The Death of Heroes,2012-10-15,eBook,https://www.amazon.com/dp/B009RR827K,,
Professional Witness,2012-10-15,eBook,https://www.amazon.com/dp/B009RF9RG2/,,
Failure,2017-04-12,eBook,https://www.amazon.com/dp/B071CF4XQT,paperback,https://www.createspace.com/7092132
I Call My Ship Catherine,2017-12-18,eBook,https://www.amazon.com/dp/B078HP9GMV/,paperback,https://www.amazon.com/dp/1973591197/
